date,items_shipped,total_freight,total_revenue
9/4/2016,2,63.34,72.89
9/11/2016,1,15.56,59.5
9/18/2016,3,8.49,134.97
9/25/2016,0,0,0
10/2/2016,1,9.34,100
10/9/2016,322,6491.02,45715.090000000004
10/16/2016,40,800.82,3692.57
10/23/2016,0,0,0
10/30/2016,0,0,0
11/6/2016,0,0,0
11/13/2016,0,0,0
11/20/2016,0,0,0
11/27/2016,0,0,0
12/4/2016,0,0,0
12/11/2016,0,0,0
12/18/2016,0,0,0
12/25/2016,1,8.72,10.9
1/1/2017,0,0,0
1/8/2017,47,578.41,3374.76
1/15/2017,89,1805.09,12937.24
1/22/2017,239,4007.78,24310.46
1/29/2017,420,7815.93,57773.15
2/5/2017,522,10217.56,71710.34
2/12/2017,587,11539.77,78487.83
2/19/2017,451,9209.73,54493.94
2/26/2017,431,8336.82,47463.29
3/5/2017,557,10929.89,72974.86
3/12/2017,664,13040.36,78362.16
3/19/2017,695,13468.19,95524.38
3/26/2017,727,13474.84,84932
4/2/2017,624,11965.6,86443.03
4/9/2017,653,11895.33,93838.63
4/16/2017,476,9467.26,59888.01
4/23/2017,641,12982.94,87536.83
4/30/2017,767,15317.02,91836.51
5/7/2017,870,16574.420000000002,101140.19
5/14/2017,892,17600.239999999998,113051.56
5/21/2017,1052,20096.940000000002,122182.25
5/28/2017,884,17564.96,116000.65000000001
6/4/2017,916,17063.31,116446.65000000001
6/11/2017,938,18207.010000000002,108623.7
6/18/2017,847,15410.45,104007.70000000001
6/25/2017,737,16331.91,87998.43
7/2/2017,795,15365.55,93299.8
7/9/2017,912,18057.2,107175.68
7/16/2017,1089,21315.84,114349.25
7/23/2017,1092,20245.33,122535.87
7/30/2017,1048,19985.44,113056.61
8/6/2017,1098,21473.77,120780.1
8/13/2017,1062,20511.63,128991.83
8/20/2017,1168,22296.82,127107.88
8/27/2017,1051,19345.239999999998,106754.08
9/3/2017,1140,23254.8,182007.87
9/10/2017,1007,20639.03,133213.91
9/17/2017,1301,25861.93,160163.88
9/24/2017,1136,21955.45,129482.21
10/1/2017,1089,21145.42,145965.76
10/8/2017,1134,23057.77,143598.14
10/15/2017,1195,23888.31,155074.38
10/22/2017,1340,26491.97,164132.89
10/29/2017,1145,22423.55,138558.52000000002
11/5/2017,1101,21538.12,144022.13
11/12/2017,1362,26401.65,160327.02
11/19/2017,1502,30045.92,175819.69
11/26/2017,3497,67454.59,407169.06
12/3/2017,2374,45016.76,267420.66000000003
12/10/2017,1875,36044.96,222805.7
12/17/2017,1571,29063.5,189337.5
12/24/2017,1094,21124.23,129878.21
12/31/2017,960,17958.91,101439.8
1/7/2018,1561,29438.989999999998,183752.44
1/14/2018,2004,39181.85,237543.18
1/21/2018,1960,38485.82,222597.75
1/28/2018,1797,33802.979999999996,213345.23
2/4/2018,1841,34871.03,198323.96
2/11/2018,1762,32466.13,204597.38999999998
2/18/2018,1877,34415.76,192748.81
2/25/2018,2020,37418.34,211771.58000000002
3/4/2018,2157,41936.94,259793.57
3/11/2018,1865,41083.88,227721.12
3/18/2018,1804,38122.5,218589.17
3/25/2018,1996,41240.99,230194.8
4/1/2018,1685,34242.29,205840.16999999998
4/8/2018,1800,37670.25,227333.1
4/15/2018,1807,38264.59,232599.93
4/22/2018,1932,38738.2,234526.23
4/29/2018,1919,38230.909999999996,237109.22
5/6/2018,2028,38409.56,246505.25
5/13/2018,2295,45392.69,295792.81
5/20/2018,2136,41134.41,259143.78
5/27/2018,1107,20035.13,133983.62
6/3/2018,1230,26711.71,182802.03
6/10/2018,1676,37216.68,204184.02000000002
6/17/2018,1729,38909.71,220710.2
6/24/2018,1651,35514.12,192587.99
7/1/2018,1622,37538.16,185984.37
7/8/2018,1345,30927.16,156419.80000000002
7/15/2018,1099,27884.510000000002,165640.58
7/22/2018,1873,41430.84,222527.28
7/29/2018,1900,43457.75,242163.15
8/5/2018,2305,49716.5,276573.9
8/12/2018,2254,49251.340000000004,279889.59
8/19/2018,2054,42618.2,245609.63
8/26/2018,1192,20435.75,126434.29000000001
9/2/2018,132,1429.67,10565.86
9/9/2018,1,21.46,145
